Date,Series,Value
2020-06-15,Volume Intensity,0.0038
2020-06-16,Volume Intensity,0.0039
2020-06-17,Volume Intensity,0.0067
2020-06-18,Volume Intensity,0.0008
2020-06-19,Volume Intensity,0.0054
2020-06-20,Volume Intensity,0.003
2020-06-21,Volume Intensity,0.0064
2020-06-22,Volume Intensity,0.0009
2020-06-23,Volume Intensity,0.0008
2020-06-24,Volume Intensity,0.0019
2020-06-25,Volume Intensity,0.0017
2020-06-26,Volume Intensity,0.0025
2020-06-27,Volume Intensity,0.0004
2020-06-28,Volume Intensity,0.0007
2020-06-29,Volume Intensity,0.0018
2020-06-30,Volume Intensity,0.0031
2020-07-01,Volume Intensity,0.0012
2020-07-02,Volume Intensity,0.0013
2020-07-03,Volume Intensity,0.0028
2020-07-04,Volume Intensity,0.0004
2020-07-05,Volume Intensity,0.0004
2020-07-06,Volume Intensity,0.0021
2020-07-07,Volume Intensity,0.0008
2020-07-08,Volume Intensity,0.0025
2020-07-09,Volume Intensity,0.0015
2020-07-10,Volume Intensity,0.0016
2020-07-11,Volume Intensity,0.0014
2020-07-12,Volume Intensity,0.0015
2020-07-13,Volume Intensity,0.0007
2020-07-14,Volume Intensity,0.0009
2020-07-15,Volume Intensity,0.0012
2020-07-16,Volume Intensity,0.0025
2020-07-17,Volume Intensity,0.002
2020-07-18,Volume Intensity,0.0007
2020-07-19,Volume Intensity,0
2020-07-20,Volume Intensity,0.0009
2020-07-21,Volume Intensity,0.0011
2020-07-22,Volume Intensity,0.0009
2020-07-23,Volume Intensity,0.0015
2020-07-24,Volume Intensity,0.0009
2020-07-25,Volume Intensity,0.0022
2020-07-26,Volume Intensity,0.0004
2020-07-27,Volume Intensity,0.0014
2020-07-28,Volume Intensity,0.0011
2020-07-29,Volume Intensity,0.0013
2020-07-30,Volume Intensity,0.002
2020-07-31,Volume Intensity,0.0009
2020-08-01,Volume Intensity,0.0007
2020-08-02,Volume Intensity,0.002
2020-08-03,Volume Intensity,0.0007
2020-08-04,Volume Intensity,0.0009
2020-08-05,Volume Intensity,0.0002
2020-08-06,Volume Intensity,0.0011
2020-08-07,Volume Intensity,0.0012
2020-08-08,Volume Intensity,0.0015
2020-08-09,Volume Intensity,0.0008
2020-08-10,Volume Intensity,0.001
2020-08-11,Volume Intensity,0.0016
2020-08-12,Volume Intensity,0.0007
2020-08-13,Volume Intensity,0
2020-08-14,Volume Intensity,0.0021
2020-08-15,Volume Intensity,0.0007
2020-08-16,Volume Intensity,0
2020-08-17,Volume Intensity,0.001
2020-08-18,Volume Intensity,0.0018
2020-08-19,Volume Intensity,0.0011
2020-08-20,Volume Intensity,0.0007
2020-08-21,Volume Intensity,0.0005
2020-08-22,Volume Intensity,0
2020-08-23,Volume Intensity,0
2020-08-24,Volume Intensity,0.001
2020-08-25,Volume Intensity,0.0011
2020-08-26,Volume Intensity,0.0004
2020-08-27,Volume Intensity,0.0013
2020-08-28,Volume Intensity,0.0002
2020-08-29,Volume Intensity,0.0011
2020-08-30,Volume Intensity,0.0004
2020-08-31,Volume Intensity,0.0017
2020-09-01,Volume Intensity,0.002
2020-09-02,Volume Intensity,0.0007
2020-09-03,Volume Intensity,0.0015
2020-09-04,Volume Intensity,0.0018
2020-09-05,Volume Intensity,0.0004
2020-09-06,Volume Intensity,0.0004
2020-09-07,Volume Intensity,0.0003
2020-09-08,Volume Intensity,0.0014
2020-09-09,Volume Intensity,0.0006
2020-09-10,Volume Intensity,0.0015
2020-09-11,Volume Intensity,0.0009
2020-09-12,Volume Intensity,0.0007
2020-09-13,Volume Intensity,0
2020-09-14,Volume Intensity,0.0009
2020-09-15,Volume Intensity,0.0002
2020-09-16,Volume Intensity,0.0013
2020-09-17,Volume Intensity,0.0015
2020-09-18,Volume Intensity,0.0002
2020-09-19,Volume Intensity,0.0007
2020-09-20,Volume Intensity,0
2020-09-21,Volume Intensity,0.0002
2020-09-22,Volume Intensity,0.0013
2020-09-23,Volume Intensity,0.001
2020-09-24,Volume Intensity,0.0007
2020-09-25,Volume Intensity,0.0003
2020-09-26,Volume Intensity,0.0005
2020-09-27,Volume Intensity,0.0009
2020-09-28,Volume Intensity,0.0009
2020-09-29,Volume Intensity,0.0021
2020-09-30,Volume Intensity,0.0005
2020-10-01,Volume Intensity,0.0002
2020-10-02,Volume Intensity,0.0003
2020-10-03,Volume Intensity,0.0005
2020-10-04,Volume Intensity,0
2020-10-05,Volume Intensity,0.0003
2020-10-06,Volume Intensity,0.0003
2020-10-07,Volume Intensity,0
2020-10-08,Volume Intensity,0.0017
2020-10-09,Volume Intensity,0.0007
2020-10-10,Volume Intensity,0.0029
2020-10-11,Volume Intensity,0.0022
2020-10-12,Volume Intensity,0
2020-10-13,Volume Intensity,0.0041
2020-10-14,Volume Intensity,0.0003
2020-10-15,Volume Intensity,0.0004
2020-10-16,Volume Intensity,0
2020-10-17,Volume Intensity,0
2020-10-18,Volume Intensity,0
2020-10-19,Volume Intensity,0.0009
2020-10-21,Volume Intensity,0
2020-10-22,Volume Intensity,0
2020-10-23,Volume Intensity,0
2020-10-24,Volume Intensity,0
2020-10-25,Volume Intensity,0
2020-10-26,Volume Intensity,0.0004
2020-10-27,Volume Intensity,0
2020-10-28,Volume Intensity,0
2020-10-29,Volume Intensity,0.0005
2020-10-30,Volume Intensity,0
2020-10-31,Volume Intensity,0.0014
2020-11-01,Volume Intensity,0
2020-11-02,Volume Intensity,0.0005
2020-11-03,Volume Intensity,0
2020-11-04,Volume Intensity,0
2020-11-05,Volume Intensity,0
2020-11-06,Volume Intensity,0
2020-11-07,Volume Intensity,0
2020-11-08,Volume Intensity,0.0014
2020-11-09,Volume Intensity,0.0011
2020-11-10,Volume Intensity,0
2020-11-11,Volume Intensity,0
2020-11-12,Volume Intensity,0
2020-11-13,Volume Intensity,0
2020-11-14,Volume Intensity,0
2020-11-15,Volume Intensity,0
2020-11-16,Volume Intensity,0
2020-11-17,Volume Intensity,0.0014
2020-11-18,Volume Intensity,0.0013
2020-11-19,Volume Intensity,0.0009
2020-11-20,Volume Intensity,0.0005
2020-11-21,Volume Intensity,0.0004
2020-11-22,Volume Intensity,0.0004
2020-11-23,Volume Intensity,0.0002
2020-11-24,Volume Intensity,0.0007
2020-11-25,Volume Intensity,0.0007
2020-11-26,Volume Intensity,0
