Combination,Columns,Combination length,Number of features,R2 train,R2 test
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos_prueba_pcr__lag_14', 'casos__ratio_population__num_casos_prueba_test_ac__lag_21', 'googletrends__entubado__lag_20', 'googletrends__confinamiento__lag_30', 'googletrends__coronavirus__lag_30']",2,6,0.8541206606243958,0.812360086431724
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos_prueba_pcr__lag_14', 'casos__ratio_population__num_casos_prueba_test_ac__lag_14', 'casos__ratio_population__num_casos_prueba_test_ac__lag_21', 'googletrends__entubado__lag_20']",2,5,0.851003387748358,0.8089427065604757
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos_prueba_pcr__lag_14', 'googletrends__tanatorio__lag_10', 'googletrends__entubado__lag_20', 'googletrends__confinamiento__lag_30', 'googletrends__coronavirus__lag_30']",2,6,0.8746493610151833,0.8085968294985965
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos_prueba_pcr__lag_14', 'casos__ratio_population__num_casos_prueba_test_ac__lag_14', 'casos__ratio_population__num_casos_prueba_test_ac__lag_21', 'googletrends__tanatorio__lag_10', 'googletrends__entubado__lag_20', 'googletrends__confinamiento__lag_30']",2,7,0.855364155254737,0.8068770015317169
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos_prueba_pcr__lag_14', 'casos__ratio_population__num_casos_prueba_test_ac__lag_14', 'casos__ratio_population__num_casos_prueba_test_ac__lag_21', 'googletrends__tanatorio__lag_10', 'googletrends__entubado__lag_20']",2,6,0.8533926552860367,0.8004508222403627
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos_prueba_pcr__lag_14', 'casos__ratio_population__num_casos_prueba_test_ac__lag_21', 'googletrends__tanatorio__lag_10', 'googletrends__coronavirus__lag_30']",2,5,0.8624858789942257,0.7998692008153083
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos_prueba_pcr__lag_14', 'casos__ratio_population__num_casos_prueba_test_ac__lag_21', 'googletrends__tanatorio__lag_10', 'googletrends__confinamiento__lag_30', 'googletrends__coronavirus__lag_30']",2,6,0.8640918779278846,0.7986066238837919
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos_prueba_pcr__lag_14', 'googletrends__entubado__lag_20', 'googletrends__confinamiento__lag_30', 'googletrends__coronavirus__lag_30']",2,5,0.8468895165044598,0.7962693905138329
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos_prueba_pcr__lag_14', 'casos__ratio_population__num_casos_prueba_test_ac__lag_14', 'casos__ratio_population__num_casos_prueba_test_ac__lag_21', 'googletrends__confinamiento__lag_30']",2,5,0.8296395435544014,0.7876863820666369
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos_prueba_pcr__lag_14', 'casos__ratio_population__num_casos_prueba_test_ac__lag_14', 'casos__ratio_population__num_casos_prueba_test_ac__lag_21']",2,4,0.830039797511841,0.7862771930985579
