Combination,Columns,Feature,Coefficient,p-value
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos__lag_10', 'googletrends__fiebre__lag_15']",casos__ratio_population__num_casos__lag_10,737.7693761857942,4.375396850534836e-105
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos__lag_10', 'googletrends__fiebre__lag_15']",googletrends__fiebre__lag_15,29.957512733400428,0.20815945486998327
"('googletrends', 'casos')","['const', 'googletrends__toque de queda__lag_5', 'googletrends__confinamiento__lag_10']",const,757.814745430323,4.025076887497654e-69
"('googletrends', 'casos')","['const', 'googletrends__toque de queda__lag_5', 'googletrends__confinamiento__lag_10']",googletrends__toque de queda__lag_5,445.09391416406396,9.345261234238849e-30
"('googletrends', 'casos')","['const', 'googletrends__toque de queda__lag_5', 'googletrends__confinamiento__lag_10']",googletrends__confinamiento__lag_10,233.6309914397112,2.4919320968191434e-10
"('googletrends', 'casos')","['const', 'googletrends__toque de queda__lag_5', 'googletrends__fiebre__lag_15']",const,757.814745430323,3.7086355080375298e-65
"('googletrends', 'casos')","['const', 'googletrends__toque de queda__lag_5', 'googletrends__fiebre__lag_15']",googletrends__toque de queda__lag_5,532.3047787084656,1.0560864524364043e-37
"('googletrends', 'casos')","['const', 'googletrends__toque de queda__lag_5', 'googletrends__fiebre__lag_15']",googletrends__fiebre__lag_15,100.20963183980139,0.006961319496800098
"('googletrends', 'casos')","['const', 'googletrends__confinamiento__lag_10', 'googletrends__fiebre__lag_15']",const,757.814745430323,4.449215040109122e-55
"('googletrends', 'casos')","['const', 'googletrends__confinamiento__lag_10', 'googletrends__fiebre__lag_15']",googletrends__confinamiento__lag_10,380.1281356401087,5.250053830429752e-18
"('googletrends', 'casos')","['const', 'googletrends__confinamiento__lag_10', 'googletrends__fiebre__lag_15']",googletrends__fiebre__lag_15,-99.90614951857619,0.01714346313686592
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos__lag_10', 'googletrends__toque de queda__lag_5', 'googletrends__confinamiento__lag_10']",const,757.8147454303225,1.1394949826698649e-120
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos__lag_10', 'googletrends__toque de queda__lag_5', 'googletrends__confinamiento__lag_10']",casos__ratio_population__num_casos__lag_10,612.594902367112,1.5740408815895305e-78
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos__lag_10', 'googletrends__toque de queda__lag_5', 'googletrends__confinamiento__lag_10']",googletrends__toque de queda__lag_5,195.8487245926362,1.8961280716306943e-14
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos__lag_10', 'googletrends__toque de queda__lag_5', 'googletrends__confinamiento__lag_10']",googletrends__confinamiento__lag_10,85.33138111651498,0.0002576211941137488
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos__lag_10', 'googletrends__toque de queda__lag_5', 'googletrends__fiebre__lag_15']",const,757.8147454303225,3.161364048267432e-120
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos__lag_10', 'googletrends__toque de queda__lag_5', 'googletrends__fiebre__lag_15']",casos__ratio_population__num_casos__lag_10,633.2949460132562,4.5469755072276e-85
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos__lag_10', 'googletrends__toque de queda__lag_5', 'googletrends__fiebre__lag_15']",googletrends__toque de queda__lag_5,225.77264192568515,9.5557279515628e-18
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos__lag_10', 'googletrends__toque de queda__lag_5', 'googletrends__fiebre__lag_15']",googletrends__fiebre__lag_15,72.74955010279643,0.0010613980834992096
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos__lag_10', 'googletrends__confinamiento__lag_10', 'googletrends__fiebre__lag_15']",const,757.8147454303225,5.334321737875552e-111
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos__lag_10', 'googletrends__confinamiento__lag_10', 'googletrends__fiebre__lag_15']",casos__ratio_population__num_casos__lag_10,697.2363813911101,2.0867728536889015e-92
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos__lag_10', 'googletrends__confinamiento__lag_10', 'googletrends__fiebre__lag_15']",googletrends__confinamiento__lag_10,109.23934465462747,2.6940926558644533e-05
